sku,productType,canonicalGroupId,imageStatus,requestedImageStatus,mainImageAssetId,dataStatus,hasProductLink,productLink,titleEn,material,gsmOrThickness,applications
"KH-CG-LOGOF-E-EM-044","corrugated-fluted-paper","corrugated-fluted-paper-150g-100g-pe-coating-logo-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending-source","false","","Logo Embossed Corrugated Paper","白卡 / 牛皮 + 坑纸","面纸 150g + 芯纸 100g","品牌坑纸、盒片"
"KH-CG-SECFLUTE-F-AF-045","corrugated-fluted-paper","corrugated-fluted-paper-180g-100g-pe-coating-e-f-g-mixed","representative","representative","kh-corrugated-family-representative","pending-source","false","","Anti-counterfeit Corrugated Paper","复合纸 + 坑纸","面纸 180g + 芯纸 100g","防伪坑盒、盒片"
"KH-CG-BOXFLUTE-E-CR-046","corrugated-fluted-paper","corrugated-fluted-paper-e-f-g-250g-e","representative","representative","kh-corrugated-family-representative","pending-source","false","","Corrugated Box Semi-finished Sheet","白卡 / 牛皮 + E/F/G 坑","250g 白卡 + E 坑","包装盒盒片、折叠盒"
"KH-SP-GOLD-300-FG-047","paper-pad","paper-pad-300g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Gold Card Paper","金卡纸","300g","礼盒面纸、垫片、标签"
"KH-SP-SILVER-300-FS-048","paper-insert","paper-insert-300g-pe-coating","representative","representative","kh-paper-insert-family-representative","pending-source","false","","Silver Card Paper","银卡纸","300g","彩盒、标签、内托"
"KH-SP-LASER-250-UV-049","specialty-paper","specialty-paper-250g-pe-coating-uv","representative","representative","kh-specialty-family-representative","pending-source","false","","Holographic Paper","镭射纸","250g","防伪包装、礼盒面纸"
"KH-SP-PEARL-230-LM-050","specialty-paper","specialty-paper-230g-pe-coating","representative","representative","kh-specialty-family-representative","pending-source","false","","Pearlescent Paper","珠光纸","230g","礼盒、插卡、包装纸"
"KH-SP-BLACK-350-AS-051","paper-pad","paper-pad-350g-pe-coating","representative","representative","kh-paper-pad-family-representative","pending-source","false","","Black Card Paper","黑卡纸","350g","内托、包装盒、垫片"
"KH-SP-COLOR-250-DC-052","specialty-paper","specialty-paper-250g-pe-coating","representative","representative","kh-specialty-family-representative","pending-source","false","","Colored Specialty Paper","彩色特种纸","250g","包装纸、盒料、插卡"
"KH-SP-SECURE-200-AF-053","specialty-paper","specialty-paper-200g-pe-coating","representative","representative","kh-specialty-family-representative","pending-source","false","","Anti-counterfeit Paper","防伪纸","200g","防伪标签、包装纸"
